model_name,train_percentage,sample_size,accuracy,roc_auc,f1,std_accuracy,std_roc_auc
XGBoost,0.1,27,0.9259259259259259,0.9481481481481482,0.8857142857142858,0.05237828008789243,0.040908744508100954
LightGBM,0.1,27,0.5925925925925926,0.5,0.0,0.05237828008789238,0.0
CatBoost,0.1,27,0.7407407407407406,0.8203703703703704,0.6095238095238095,0.10475656017578482,0.14936996170426503
Random Forest,0.1,27,0.7777777777777778,0.712037037037037,0.7111111111111111,0.0,0.10098112659635668
Gradient Boosting,0.1,27,0.5925925925925926,0.5083333333333333,0.4444444444444445,0.05237828008789238,0.011785113019775804
SVC (RBF),0.1,27,0.7407407407407408,0.8166666666666668,0.6666666666666666,0.20951312035156963,0.22484562605386735
XGBoost,0.25,67,0.8511198945981554,0.907977207977208,0.812962962962963,0.041118541592430106,0.04167537104395548
LightGBM,0.25,67,0.8043478260869565,0.8559829059829059,0.7094017094017094,0.09490282374342268,0.07831675125205283
CatBoost,0.25,67,0.7905138339920948,0.8843304843304844,0.7462962962962963,0.11414647492643203,0.07001362912841767
Random Forest,0.25,67,0.821475625823452,0.900997150997151,0.775255131292283,0.033161298942432714,0.035081510985825466
Gradient Boosting,0.25,67,0.6574440052700923,0.7846153846153845,0.5753812636165577,0.05065186505070115,0.06825844583966297
SVC (RBF),0.25,67,0.8208168642951251,0.9236467236467236,0.7763157894736842,0.03730009925399755,0.013265466355353589
XGBoost,0.5,135,0.7777777777777777,0.8515241887561577,0.7353801169590642,0.03628873693012116,0.034863470043265045
LightGBM,0.5,135,0.7703703703703703,0.8461149708713062,0.7197994987468671,0.010475656017578498,0.039871849631265575
CatBoost,0.5,135,0.8148148148148149,0.8721669637848976,0.7665379665379666,0.05543196128553985,0.06440797438219616
Random Forest,0.5,135,0.8222222222222223,0.8809388936094589,0.7727912786736316,0.01814436846506056,0.045874664169977965
Gradient Boosting,0.5,135,0.762962962962963,0.8169335177132449,0.7113003095975232,0.020951312035156995,0.05520179061294822
SVC (RBF),0.5,135,0.8148148148148149,0.8839642236328397,0.7567099567099568,0.05543196128553985,0.039636273597542813
